lifesat,peopletrust,freewill,takeadvan,married,childs,fightcountry,impdem,beatchild,wageearn,incomecat,sex,educ,sacsecvalr,resemavalr
1,0,1,1,1,0,1,10,1,0,2,0,5,36.873703,16.052
5,0,7,5,0,1,1,10,1,1,4,0,9,16.649,28.453299
1,0,1,10,1,1,1,10,1,0,1,0,5,20.9179,34.743301
1,0,1,1,1,2,1,10,1,0,1,1,1,29.251301,18.119999
5,0,5,5,1,3,1,7,7,0,6,0,5,47.258301,27.2953
10,0,10,10,1,2,1,10,5,1,8,1,9,6.2375002,31.610001
8,0,8,8,0,0,1,7,8,0,6,0,1,27.4667,31.610001
4,0,4,6,0,0,1,9,5,0,4,0,7,27.688801,52
5,0,4,6,0,0,1,8,4,0,3,0,3,24.9387,49.7253
1,1,4,5,0,0,1,9,4,0,2,1,2,17.320801,35.2733
1,0,4,5,0,0,1,9,2,1,4,1,4,15.876301,32.7733
10,0,8,8,0,0,1,10,4,0,4,0,1,23.639999,39.771999
4,0,3,6,0,0,1,9,4,0,4,0,4,24.9387,44.973297
1,0,5,5,1,3,0,8,1,0,3,0,5,27.688801,35.2733
1,0,3,4,0,4,1,9,6,0,3,0,1,41.6054,35.2733
1,0,4,4,1,4,1,9,4,0,3,0,1,24.9387,35.2733
1,0,4,5,1,4,1,8,4,0,3,0,3,24.9387,25.573301
3,0,3,5,1,0,1,9,1,1,3,1,5,18.626299,41.563301
1,0,3,3,1,5,0,8,2,1,4,1,3,15.876301,25.751999
4,0,3,3,1,2,0,9,4,0,3,0,3,24.9387,31.863298
3,1,8,6,1,7,1,10,8,1,4,1,1,20.009501,21.633301
6,1,8,5,1,2,1,10,8,0,5,0,5,23.7803,21.633301
3,0,8,3,1,3,1,9,8,1,4,1,1,20.009501,11.9333
1,0,10,6,1,2,1,10,8,0,4,0,1,15.447,21.633301
3,0,10,8,1,3,1,10,8,1,4,1,1,21.4596,8.4200001
3,0,8,3,1,5,1,8,8,0,4,0,1,47.3358,8.4200001
3,1,10,8,0,0,1,10,8,0,4,1,3,60.090298,18.119999
3,0,8,6,1,1,1,8,9,0,4,0,5,39.063702,18.119999
3,0,8,6,1,1,1,10,10,0,4,0,1,33.9958,18.119999
6,1,8,8,1,8,1,10,8,0,4,0,1,51.8983,15.3433
7,0,10,3,0,0,1,8,10,0,6,0,5,11.3138,21.633301
7,0,8,6,1,2,1,10,8,0,5,0,5,36.313801,5.0099998
5,0,10,5,1,0,0,10,4,0,4,0,1,30.737501,25.043301
1,0,10,5,1,2,0,10,4,0,3,0,5,16.751299,25.043301
8,0,8,5,0,0,1,8,3,0,7,1,9,47.764999,11.3
6,0,8,8,0,0,1,8,9,1,5,1,3,32.707001,11.3
2,0,10,9,0,0,0,10,1,0,4,0,1,54.077499,25.043301
10,0,6,3,0,0,1,6,2,0,6,1,9,44.716702,38.786701
4,0,8,7,1,0,1,9,9,0,8,0,1,25.7115,16.052
8,0,8,5,1,2,0,8,6,0,6,0,6,54.857998,21
1,0,8,8,1,2,1,10,9,1,4,1,9,21.6705,41.113998
2,0,3,7,1,1,0,10,1,0,2,0,1,40.2519,20.804001
