"","V161003","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161109","V161126","V161134A","V161178","V161181","V161184","V161187","V161189","V161198","V161201","V161295","V161361X","V162096","V162097","V162098","V162099","V162100","V162101","V162105"
"170",1,100,0,50,30,100,15,100,100,70,100,0,1,2,60,5,4,2,1,4,2,2,38,13,85,85,85,70,40,15,50
"171",2,40,40,50,50,30,40,60,50,50,40,40,0,3,51,5,6,1,1,1,4,1,40,17,100,100,70,100,40,60,50
"172",3,30,15,85,50,50,50,71,60,70,30,15,0,3,60,4,2,3,1,4,5,1,50,9,60,40,60,70,15,30,40
"173",1,15,70,0,0,15,85,0,0,0,15,60,0,6,44,2,6,4,3,4,6,1,25,12,52,56,58,70,57,76,31
"174",2,85,15,50,50,70,50,70,85,50,70,30,1,2,60,6,4,7,1,5,7,2,10,22,60,70,70,85,0,15,30
"175",2,1,55,36,50,15,55,1,1,50,1,30,1,6,48,1,4,6,3,6,7,6,60,25,20,20,25,90,75,95,85
"176",1,0,60,65,60,15,75,0,0,76,31,80,1,6,60,1,6,7,2,6,6,6,40,21,80,55,75,60,60,65,45
"177",1,1,70,42,17,17,85,1,31,60,16,41,2,6,42,1,5,7,3,7,7,5,70,28,40,15,30,70,60,85,85
"178",3,2,85,2,3,52,86,1,1,54,1,85,0,7,40,6,6,6,1,4,7,1,48,21,40,0,50,70,50,85,60
"179",3,42,89,61,30,52,81,1,60,52,28,74,5,5,48,3,6,4,1,5,4,1,40,12,51,70,52,82,92,100,84
"180",4,60,50,15,30,30,50,0,0,40,50,50,5,4,60,5,3,1,1,4,7,5,37,7,49,52,51,96,21,44,13
"181",2,85,0,16,31,70,0,100,85,5,70,0,1,1,65,6,2,1,1,3,2,1,60,26,99,99,86,50,16,1,17
"182",4,40,85,70,50,50,40,30,30,50,40,85,0,5,40,5,5,6,2,3,4,3,40,14,50,70,70,85,70,85,70
"183",2,99,7,30,16,83,22,95,84,31,98,4,1,4,56,6,4,1,3,3,3,5,40,17,50,79,60,70,40,15,31
"184",1,0,100,50,50,50,50,0,15,50,0,40,1,7,29,1,7,7,2,7,7,4,40,27,30,50,50,51,51,71,50
"185",1,97,0,23,15,88,16,92,96,40,90,0,1,2,55,7,4,1,1,1,1,1,35,27,86,99,99,86,40,1,17
"186",2,0,62,52,50,1,86,30,39,60,15,72,4,4,40,3,6,3,3,5,6,3,50,14,33,16,29,71,29,64,51
"187",1,85,0,50,50,50,50,100,70,50,40,30,1,5,75,4,3,4,1,5,5,3,8,26,100,85,86,84,86,98,98
